Дата,ticker,Вход,Стоп,Тейк
2023-01-08 06-00-00,STMXUSDT,0.00379,0.00375,0.00387
2023-01-08 19-30-00,BNBUSDT,267.7,260.5,280.66
2023-01-09 00-30-00,ALCXUSDT,14.9,14.2,16.16
2023-01-09 02-30-00,XRPUSDT,0.3513,0.3381,0.37506
2023-01-11 08-30-00,FISUSDT,0.4887,0.3886,0.66888
2023-01-13 14-30-00,OPUSDT,1.473,1.38,1.6404
2023-01-13 20-00-00,OPUSDT,1.61,1.38,2.024
2023-01-14 00-30-00,SOLUSDT,18.65,16.46,22.592
2023-01-14 05-30-00,SOLUSDT,22.84,16.46,34.324
2023-01-14 05-30-00,FRONTUSDT,0.1984,0.1876,0.21784
2023-01-14 06-30-00,SXPUSDT,0.2661,0.2438,0.30624
2023-01-14 06-30-00,LINKUSDT,6.934,6.26,8.1472
2023-01-15 16-30-00,TRBUSDT,15.72,14.75,17.466
2023-01-20 14-30-00,ETHUSDT,1564.43,1507.9,1666.184
2023-01-20 21-00-00,OOKIUSDT,0.00373,0.0035,0.00414
2023-01-20 21-30-00,SOLUSDT,24.35,20.86,30.632
2023-01-21 06-30-00,OPUSDT,2.384,1.744,3.536
2023-01-22 14-00-00,AXSUSDT,10.49,8.86,13.424
2023-01-26 04-00-00,CRVUSDT,1.063,0.98,1.2124
2023-01-26 12-00-00,STPTUSDT,0.04186,0.03829,0.04829
2023-01-27 18-00-00,HIFIUSDT,0.5246,0.4916,0.584
2023-01-29 00-00-00,WTCUSDT,0.2399,0.231,0.25592
2023-01-29 14-30-00,BNBUSDT,318.0,303.6,343.92
2023-01-31 16-30-00,SXPUSDT,0.2855,0.2794,0.29648
2023-02-02 15-30-00,RUNEUSDT,1.931,1.849,2.0786
2023-02-04 13-00-00,XRPUSDT,0.4125,0.4075,0.4215
2023-02-04 17-30-00,XRPUSDT,0.4133,0.4075,0.42374
2023-02-08 05-00-00,FISUSDT,0.8065,0.691,1.0144
2023-02-12 07-30-00,WTCUSDT,0.2358,0.2278,0.2502
2023-02-14 10-00-00,WTCUSDT,0.2241,0.22,0.23148
2023-02-14 15-30-00,FISUSDT,0.576,0.5308,0.65736
2023-02-14 19-00-00,RUNEUSDT,1.7,1.62,1.844
2023-02-15 19-00-00,SOLUSDT,22.75,21.45,25.09
2023-02-15 19-30-00,STPTUSDT,0.04629,0.04282,0.05254
2023-02-15 22-30-00,TRBUSDT,17.32,15.84,19.984
2023-02-18 23-30-00,PNTUSDT,0.2266,0.2023,0.27034
2023-02-23 16-30-00,TRBUSDT,20.42,18.53,23.822
2023-02-24 08-30-00,STPTUSDT,0.0523,0.04791,0.0602
2023-02-24 14-00-00,ALCXUSDT,22.7,21.77,24.374
2023-02-25 08-00-00,KNCUSDT,0.938,0.831,1.1306
2023-02-27 15-00-00,KNCUSDT,0.894,0.871,0.9354
2023-03-01 10-30-00,ALCXUSDT,23.78,21.75,27.434
2023-03-06 07-00-00,EURUSDT,1.0594,1.0546,1.06804
2023-03-06 14-00-00,EURUSDT,1.0605,1.0546,1.07112
2023-03-07 20-30-00,XRPUSDT,0.3827,0.3678,0.40952
2023-03-10 16-00-00,BNBUSDT,275.2,265.0,293.56
2023-03-13 00-00-00,CRVUSDT,0.97,0.841,1.2022
2023-03-14 14-30-00,FRONTUSDT,0.221,0.207,0.2462
2023-03-14 14-30-00,PNTUSDT,0.2362,0.2117,0.2803
2023-03-14 15-00-00,MATICUSDT,1.2427,1.1415,1.42486
2023-03-17 13-30-00,XRPUSDT,0.3774,0.3665,0.39702
2023-03-18 04-00-00,LUNAUSDT,1.4783,1.3745,1.66514
2023-03-23 08-30-00,AXSUSDT,8.52,8.22,9.06
2023-03-26 01-30-00,FISUSDT,0.5123,0.4983,0.5375
2023-03-26 16-00-00,FISUSDT,0.5555,0.4983,0.65846
2023-03-29 05-00-00,AXSUSDT,8.33,7.9,9.104
2023-03-29 09-00-00,MTLUSDT,1.19,1.139,1.2818
2023-03-30 06-00-00,ARBUSDT,1.345,1.1957,1.61374
2023-04-02 17-30-00,APTUSDT,12.4681,11.1489,14.84266
2023-04-08 03-00-00,APTUSDT,11.283,11.0632,11.67864
2023-04-10 22-30-00,SXPUSDT,0.6417,0.6088,0.70092
2023-04-12 04-00-00,EURUSDT,1.0879,1.0861,1.09114
2023-04-13 14-00-00,CRVUSDT,1.06,1.014,1.1428
2023-04-14 00-30-00,XRPUSDT,0.5156,0.5073,0.53054
2023-04-14 02-30-00,XRPUSDT,0.5196,0.5073,0.54174
2023-04-15 15-30-00,ARBUSDT,1.724,1.6467,1.86314
2023-04-16 05-30-00,TRBUSDT,16.19,15.56,17.324
2023-04-18 11-30-00,LINKUSDT,8.67,8.03,9.822
2023-04-18 13-00-00,LINKUSDT,8.77,8.03,10.102
2023-04-18 23-00-00,LUNAUSDT,1.4407,1.383,1.54456
2023-04-22 19-00-00,ALCXUSDT,18.24,17.77,19.086
2023-04-27 17-30-00,BNBUSDT,333.7,328.2,343.6
2023-04-29 22-30-00,EURUSDT,1.1028,1.1006,1.10676
2023-05-03 21-00-00,ETHUSDT,1894.45,1842.64,1987.708
2023-05-03 21-30-00,WTCUSDT,0.19,0.1837,0.20134
2023-05-04 00-00-00,SOLUSDT,22.3,21.23,24.226
2023-05-05 11-00-00,MTLUSDT,1.164,1.125,1.2342
2023-05-10 05-00-00,ARBUSDT,1.1331,1.0913,1.20834
